Artist_Name,Birth_Year,Turnover,Sold Lots,Highest Price
Antonio Macchi Cassia,1937,,,
Antonio Manuel,1947,,,
Antonio Martorell,1939,,,
Antonio Mendoza,1941,,,
Antonio Muntadas,1942,,,
Antonio Nuic,1977,,,
Antonio Papasso,1932,,,
Antonio Saura,1930,,,
Antonio Segui,1934,,,
Antonius HÃ¶ckelman,1937,,,
Antti Nurmesniemi,1927,,,
Anya Phillips,1955,,,
Aphex Twin,1971,,,
Apichatpong Weerasethakul,1970,,,
"Apple, Inc.",1976,,,
April Gornik,1953,,,
April Greiman,1948,,,
Ara Peterson,1973,,,
Aram Avakian,1926,,,
Aranda/Lasch,2003,,,
Arata Isozaki,1931,,,
Arch Connelly,1950,,,
Architecture and Vision,2003,,,
"Architetti Montagni, Berizzi, Butte",1950,,,
Archizoom Associati,1966,,,
Ardele Lister,1950,,,
Aretha Franklin,1942,,,
Ari 't Hart,1936,,,
Arian Brekveld,1968,,,
Arista Records,1974,,,
Arjen Bangma,1976,,,
Arlene Hoffman,1937,,,
Arman,1928,,,
Armand Mevis,1963,,,
Armando,1929,,,
Armando Andrade Tudela,1975,,,
Armando Iannucci,1963,,,
Armando Morales Sequeira,1927,,,
Armin Hofmann,1920,,,
Armin KrÃ¤mer,1973,,,
Arnaldo Pomodoro,1926,,,
Arnaud Desplechin,1960,,,
Arne Wolf,1929,,,
Arnold Bittleman,1933,,,
Arnold Crane,1932,,,
Arnold Gassan,1930,,,
Arnold Glimcher,1938,,,
Arnold Gross,1929,,,
Arnold Hardy,1922,,,
Arnold Rosenberg,1931,,,
Arnold Schmidt,1930,,,
Arnulf Rainer,1929,,,
ARO (Architecture Research Office),1993,,,
Arrigo Lora Totino,1928,,,
Arsen Anton Ostojic,1965,,,
"Art & Project, Amsterdam",1968,,,
Art Chantry,1954,,,
Art Fry,1931,,,
Art Greenspon/Associated Press,1942,,,
Art Hazelwood,1961,,,
Art Kane,1925,,,
Art Sinsabaugh,1924,,,
Art Spiegelman,1948,,,
Art Zaaijer,1958,,,
Artecnica,1986,,,
"Arteluce S.A., Milan",1936,,,
Artemio Sepulveda,1935,,,
Arthur Brutter,1982,,,
Arthur Cantrill,1938,,,
Arthur Deshaies,1920,,,
Arthur Freed,1936,,,
Arthur Ginsberg,1941,,,
Arthur KÃ¶pcke,1928,,,
Arthur Ollman,1947,,,
