Artist_Name,Turnover,Sold Lots,Highest Price,Top_500_Rank
XIN Dongwang,"$867,574 ",9,"$452,806 ",195
Cory ARCANGEL,"$866,936 ",6,"$399,000 ",196
XIA Xing,"$866,850 ",3,"$661,268 ",197
Jonathan MEESE,"$863,111 ",52,"$90,975 ",198
Avery SINGER,"$858,389 ",3,"$735,000 ",199
Gabriel OROZCO,"$858,313 ",11,"$795,000 ",200
Philip-Lorca DICORCIA,"$858,052 ",14,"$468,500 ",201
Chris OFILI,"$839,424 ",26,"$325,000 ",202
Mimmo PALADINO,"$839,103 ",76,"$111,266 ",203
Kemal ÖNSOY,"$837,525 ",33,"$57,202 ",204
Laurence JENKELL,"$836,886 ",14,"$337,500 ",205
JONONE,"$836,625 ",48,"$90,962 ",206
Andres BARRIOQUINTO,"$831,698 ",12,"$314,760 ",207
Thierry DE CORDIER,"$818,755 ",8,"$499,985 ",208
Raymond PETTIBON,"$810,065 ",44,"$162,500 ",209
LI Jin,"$800,349 ",32,"$256,040 ",210
Wangechi MUTU,"$791,434 ",11,"$287,500 ",211
CHEN Wenji,"$782,868 ",3,"$383,143 ",212
Kara WALKER,"$770,932 ",33,"$198,533 ",213
YIN Zhaoyang,"$767,769 ",10,"$138,215 ",214
Mary CORSE,"$755,625 ",6,"$312,500 ",215
Ayako ROKKAKU,"$753,672 ",29,"$78,031 ",216
Jörg IMMENDORFF,"$747,618 ",80,"$106,337 ",217
Philippe PASQUA,"$739,614 ",56,"$312,709 ",218
Bernd & Hilla BECHER,"$737,542 ",32,"$145,756 ",219
Rashid JOHNSON,"$733,473 ",9,"$381,000 ",220
Anselm REYLE,"$728,334 ",21,"$79,413 ",221
JIANG Hongwei,"$723,463 ",17,"$208,656 ",222
WANG Yin,"$708,918 ",6,"$200,310 ",223
WANG Guangle,"$703,839 ",3,"$327,780 ",224
CHEN Ping,"$693,460 ",20,"$93,876 ",225
LOS CARPINTEROS,"$693,269 ",13,"$456,500 ",226
YU Hong,"$689,706 ",5,"$557,299 ",227
Deborah BUTTERFIELD,"$683,900 ",7,"$312,500 ",228
Rachel WHITEREAD,"$681,027 ",12,"$259,035 ",229
JIA Chang,"$678,805 ",1,"$678,805 ",230
Thomas HOUSEAGO,"$678,119 ",10,"$181,250 ",231
Dana SCHUTZ,"$673,809 ",9,"$341,308 ",232
Doris SALCEDO,"$642,216 ",3,"$471,000 ",233
Giuseppe PENONE,"$635,826 ",15,"$231,250 ",234
Bernard FRIZE,"$633,660 ",12,"$109,719 ",235
CAO Li,"$633,359 ",11,"$161,035 ",236
YE Alin,"$630,484 ",10,"$78,159 ",237
Olafur ELIASSON,"$626,917 ",33,"$100,000 ",238
Harold ANCART,"$626,793 ",10,"$237,500 ",239
YAN Ping,"$626,679 ",12,"$196,496 ",240
Annie CABIGTING,"$625,745 ",5,"$176,083 ",241
YANG Qian,"$623,528 ",8,"$349,807 ",242
Idris KHAN,"$619,036 ",11,"$106,744 ",243
Jeff ELROD,"$616,471 ",8,"$147,269 ",244
SALVO,"$611,299 ",49,"$96,600 ",245
XU Li,"$608,505 ",9,"$248,453 ",246
Harland MILLER,"$607,077 ",24,"$83,051 ",247
Yoichi OHIRA,"$602,553 ",21,"$215,118 ",248
YANG Shihong,"$600,179 ",11,"$112,157 ",249
YE Yongqing,"$598,070 ",11,"$138,423 ",250
GUO Runwen,"$595,005 ",4,"$218,629 ",251
Norbert BISKY,"$577,685 ",12,"$105,981 ",252
Charline VON HEYL,"$577,363 ",5,"$231,250 ",253
Dan COLEN,"$573,163 ",9,"$155,931 ",254
David LACHAPELLE,"$571,065 ",33,"$47,289 ",255
Alex ISRAEL,"$562,663 ",4,"$212,500 ",256
ZHU Xinjian,"$560,725 ",58,"$28,875 ",257
Ok-Sang LIM,"$559,550 ",10,"$207,713 ",258
Shirin NESHAT,"$559,465 ",22,"$117,166 ",259
Cressida CAMPBELL,"$557,640 ",21,"$78,862 ",260
PANG Maokun,"$553,972 ",9,"$174,248 ",261
Ellen GALLAGHER,"$553,209 ",4,"$521,481 ",262
Isa GENZKEN,"$552,631 ",10,"$399,000 ",263
TAL R,"$549,175 ",19,"$79,413 ",264
YE Ziqi,"$548,955 ",5,"$241,364 ",265
Howard ARKLEY,"$548,945 ",6,"$463,318 ",266
Aaron GARBER-MAIKOVSKA,"$548,481 ",8,"$156,250 ",267
Joseph KOSUTH,"$546,808 ",12,"$164,859 ",268
LI Xiaoxuan,"$543,865 ",15,"$227,007 ",269
Hiroshi FURUYOSHI,"$541,801 ",20,"$97,855 ",270
Nicole EISENMAN,"$540,563 ",22,"$175,000 ",271
Shinro OHTAKE,"$537,082 ",12,"$175,219 ",272
Erwin WURM,"$536,767 ",13,"$176,035 ",273
CHEN Yupu,"$528,487 ",16,"$174,156 ",274
Lian Ben LAO,"$528,413 ",14,"$151,081 ",275
LIANG Yuanwei,"$526,833 ",2,"$270,793 ",276
Sarah LUCAS,"$526,526 ",9,"$309,301 ",277
WEI Xiaorong,"$526,484 ",16,"$81,365 ",278
FANG Chuxiong,"$524,049 ",43,"$50,705 ",279
Gottfried HELNWEIN,"$522,925 ",33,"$155,420 ",280
Hernan BAS,"$522,794 ",12,"$270,793 ",281
Philippe PARRENO,"$521,874 ",2,"$516,500 ",282
Stanley WHITNEY,"$518,536 ",4,"$200,000 ",283
Adam PENDLETON,"$517,931 ",4,"$225,000 ",284
ZENG Laide,"$515,007 ",10,"$458,352 ",285
Raqib SHAW,"$514,846 ",6,"$215,078 ",286
Richard LONG,"$514,733 ",19,"$200,000 ",287
MAO Xuhui,"$511,608 ",4,"$348,036 ",288
Koorosh SHISHEGARAN,"$511,602 ",5,"$154,864 ",289
Michael KVIUM,"$507,198 ",20,"$71,001 ",290
WANG Keping,"$505,135 ",14,"$80,986 ",291
FENG Yuan,"$501,529 ",12,"$159,970 ",292
Lorna SIMPSON,"$500,248 ",7,"$375,000 ",293
Jennifer GUIDI,"$500,154 ",2,"$362,654 ",294
Ron MUECK,"$498,976 ",2,"$447,000 ",295
GENERAL IDEA,"$496,790 ",3,"$492,500 ",296
Tomasz TATARCZYK,"$495,501 ",21,"$66,067 ",297
Mark JUSTINIANI,"$492,466 ",14,"$121,458 ",298
Herb RITTS,"$492,435 ",38,"$150,000 ",299
NAN Haiyan,"$490,350 ",12,"$127,951 ",300
Theaster GATES,"$488,454 ",2,"$459,000 ",301
Makoto SAITO,"$487,500 ",2,"$250,000 ",302
Sue WILLIAMS,"$486,352 ",12,"$137,500 ",303
Jim HODGES,"$482,454 ",5,"$300,000 ",304
SONG Yanjun,"$480,423 ",3,"$396,757 ",305
Jason RHOADES,"$480,210 ",2,"$478,960 ",306
Jimnez DEREDIA,"$479,350 ",3,"$372,500 ",307
RAMMELLZEE,"$475,581 ",11,"$137,307 ",308
STIK,"$473,179 ",43,"$74,073 ",309
Edward BURTYNSKY,"$469,462 ",31,"$43,944 ",310
HONG Ling,"$466,481 ",12,"$160,080 ",311
Karin Mamma ANDERSSON,"$463,883 ",4,"$250,000 ",312
TANG Yongli,"$460,771 ",18,"$172,938 ",313
Edmund DE WAAL,"$460,123 ",18,"$137,500 ",314
ZHANG Huan,"$457,685 ",16,"$106,250 ",315
CHAO Ge,"$457,434 ",2,"$372,679 ",316
Marcello LO GIUDICE,"$455,424 ",10,"$115,616 ",317
John ARMLEDER,"$454,667 ",19,"$89,723 ",318
Emily YOUNG,"$453,982 ",1,"$453,982 ",319
Steven PARRINO,"$448,324 ",4,"$212,074 ",320
Leon TARASEWICZ,"$447,499 ",19,"$92,894 ",321
Wim DELVOYE,"$446,050 ",22,"$90,323 ",322
OSGEMEOS,"$444,281 ",9,"$132,355 ",323
YUAN Yuan,"$443,708 ",4,"$286,784 ",324
Sarah MORRIS,"$443,006 ",12,"$73,381 ",325
Patrick NAGEL,"$439,782 ",18,"$200,000 ",326
Dexter DALWOOD,"$439,747 ",7,"$122,350 ",327
SU Xiaobai,"$439,636 ",8,"$145,680 ",328
Lars LERIN,"$438,893 ",22,"$45,525 ",329
YANG Feiyun,"$435,513 ",3,"$261,027 ",330
Josh SMITH,"$434,133 ",17,"$162,500 ",331
Rodney GRAHAM,"$433,503 ",15,"$136,376 ",332
LU Yushun,"$433,415 ",13,"$108,206 ",333
DU Xinyuan,"$433,004 ",1,"$433,004 ",334
Nan GOLDIN,"$430,750 ",67,"$29,578 ",335
Yoon OH,"$430,477 ",15,"$76,560 ",336
Taeho KIM,"$425,707 ",13,"$72,034 ",337
XU Hualing,"$424,861 ",11,"$97,913 ",338
Stephen SHORE,"$423,067 ",54,"$43,750 ",339
Paul MCCARTHY,"$421,152 ",9,"$187,500 ",340
WU Lan,"$416,849 ",5,"$125,055 ",341
FANG Xiang,"$416,839 ",15,"$86,278 ",342
Jai-Hyoung HWANG,"$414,032 ",8,"$71,865 ",343
José María CANO,"$412,879 ",1,"$412,879 ",344
Nate LOWMAN,"$409,193 ",8,"$275,000 ",345
BRAAQ,"$409,142 ",47,"$26,938 ",346
MOKE,"$404,955 ",33,"$38,298 ",347
Lesley VANCE,"$398,535 ",6,"$129,046 ",348
YANG Shaobin,"$398,372 ",15,"$159,720 ",349
Gérard RANCINAN,"$397,850 ",9,"$128,408 ",350
XIAO Huirong,"$396,802 ",6,"$256,808 ",351
JIA Guangjian,"$396,067 ",22,"$156,385 ",352
LONG Rui,"$393,165 ",20,"$140,201 ",353
CUI Xiaodong,"$392,337 ",17,"$104,942 ",354
Jan FABRE,"$392,203 ",14,"$271,532 ",355
Jan MERTA,"$390,240 ",13,"$72,277 ",356
HE Baili,"$389,704 ",16,"$71,695 ",357
Chris LEVINE,"$388,991 ",20,"$105,221 ",358
Gary HUME,"$385,060 ",16,"$120,883 ",359
CHEN Zhen,"$384,569 ",2,"$228,386 ",360
